sample	reference	assembly_coverageDepth	reads_total	reads_mapped	fraction_reads_mapped	coverage_rawDepth	base_count	count_circular_contigs	busco_single	busco_duplicates	genes_full	genes_partial	fraction_genes_recovered	run_name	version	timestamp	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genomic features	Complete BUSCO (%)	Partial BUSCO (%)	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Ec_0-5_10_Ec2	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	18.532400070355845	451007	449659	0.9970111328649001	19.37305023829362	104188826	NA	98.6	0	5158	158	0.980992803100203	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:49:25.748772	454	159	92	70	51	35	5378029	5265211	5096488	4946892	4654095	4048237	230	301286	5313510	5277316	50.57	50.72	100772	100772	54269	54269	17	17	34	34	4	4	16443	2	0	0	3	18 + 15 part	126838	98.011	1.003	0	7.62	1.04	5158 + 158 part	98.65	0	301286	5186365	100772	100772	54269	54269	17	17	34	34
Ec_0-5_10_Ec3	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	18.514148359681794	454610	452763	0.9959371769208772	19.392216073607102	105021901	NA	98.6	0	5160	146	0.9791474441778926	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:51:16.915515	519	157	89	70	50	31	5415673	5278174	5118304	4985115	4658074	3919619	233	287290	5330774	5277316	50.59	50.72	112004	114449	48530	49546	15	14	33	32	2	2	1822	0	0	0	2	27 + 14 part	145914	97.983	1.003	0	5.41	2.13	5160 + 146 part	98.65	0	287290	5184602	112004	114449	48530	49546	15	14	33	32
Ec_0-5_10_Ec4	NZ_CP022086.2 Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome	18.678678940614653	450882	449890	0.9977998678146389	19.34125496730736	104161613	NA	98.6	0	5151	148	0.9805699481865285	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:52:46.672422	422	159	102	82	61	36	5385463	5288021	5159379	5022090	4690714	3833795	217	243995	5327509	5256950	50.51	50.75	91465	91465	43859	45051	19	19	40	39	4	4	308049	0	0	0	3	7 + 14 part	165414	97.845	1.004	0	14	0.84	5151 + 148 part	98.65	0	243995	5161565	91465	91465	38944	40796	19	19	41	40
Ec_0-5_10_Ec5	NZ_CP027390.1 Escherichia coli strain 2015C-4944 chromosome, complete genome	18.87490497476773	487681	486591	0.9977649324045842	19.722723622870546	112667104	NA	98.6	0	5617	284	0.9499356084996781	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:00.477400	869	262	121	98	71	36	5712553	5508453	5193976	5028538	4625128	3424125	363	231458	5574719	5802748	50.39	50.68	61408	59600	32890	29842	25	27	56	61	4	2	9591	2	0	0	4	4 + 13 part	70583	94.523	1.003	0	14.88	0.67	5617 + 284 part	98.65	0	231458	5503249	61408	59600	32890	29842	25	27	56	61
Ec_0-5_10_Ec6	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	18.85407486028921	473156	471751	0.9970305776530362	19.66353248545547	109312212	NA	98.6	0	5412	280	0.9510442773600668	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:53:03.641525	840	240	102	80	60	33	5559134	5352426	5033906	4879445	4577824	3651722	347	244238	5424341	5647195	50.4	50.67	93608	92049	35563	32891	20	21	43	48	3	3	25364	0	0	0	3	7 + 12 part	63029	94.52	1.004	0	17.69	1.16	5412 + 280 part	98.65	0	244238	5361169	93608	92049	35563	32891	20	21	43	48
Ec_0-5_10_Ec7	NZ_CP018252.1 Escherichia coli strain 9000 chromosome, complete genome	18.95492994310613	465353	463695	0.9964371133311701	19.7142565577459	107508189	NA	98.6	0	5249	222	0.9432758620689655	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:53:14.772225	637	163	81	60	50	33	5453322	5282139	5088553	4934380	4766333	4198242	257	313944	5347619	5516497	50.27	50.53	109447	108181	59825	58333	15	16	30	32	3	3	18390	1	0	0	2	8 + 6 part	91414	95.061	1.002	0	9.38	0.69	5249 + 222 part	98.65	0	313944	5256133	109447	108181	59825	58333	15	16	30	32
Ec_0-5_10_Ec8	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	18.97621103573943	474358	473294	0.9977569683656647	19.662527384393453	109587720	NA	98	0	5432	271	0.9528822055137844	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:53:28.487675	817	235	109	83	63	35	5573430	5372466	5100797	4911505	4598413	3598874	338	234732	5441933	5647195	50.39	50.67	75744	73147	36243	33192	21	22	47	51	5	5	149922	1	0	0	3	8 + 10 part	73253	94.708	1.004	0	20.66	3.27	5432 + 271 part	97.97	0.68	234732	5368139	72979	67286	36243	33192	22	23	48	52
Ec_0-5_20_Ec1	NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome	17.67237394546324	443547	442958	0.998672068574469	18.679712760734876	102469451	NA	95.3	0.7	5006	387	0.9599501601993592	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:51:14.766442	1281	424	238	166	64	9	5485601	5176218	4727926	4206270	2542342	613685	580	91075	5286151	5317846	50.41	50.63	24275	24275	12385	11961	69	69	144	146	5	5	48386	2	0	0	2	42 + 13 part	138610	95.678	1.012	0	36.91	1.43	5006 + 387 part	95.95	1.35	91075	5146279	24275	24275	11961	11638	69	69	145	147
Ec_0-5_20_Ec2	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	17.570580715944608	449239	448470	0.9982882162946672	18.629490339036202	103781556	NA	98	0	5021	292	0.9804391954235099	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:06.323112	949	371	212	153	67	24	5570821	5353102	4984191	4559976	3125343	1650306	490	139640	5439008	5277316	50.54	50.72	29910	30786	15727	16853	53	50	116	109	2	2	2751	7	0	0	6	63 + 27 part	210279	97.944	1.012	0	40.47	2.75	5021 + 292 part	97.97	0	139640	5226807	29910	30786	15131	16410	53	50	117	109
Ec_0-5_20_Ec3	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	17.439441856489594	452978	452164	0.9982030032363602	18.778157245851347	104645281	NA	98	0	5026	286	0.9802546595312789	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:54.688964	972	343	208	143	70	22	5572713	5332523	4997864	4506758	3328899	1649948	481	190301	5430284	5277316	50.53	50.72	34958	35177	15289	16626	49	47	108	101	4	4	117072	3	0	0	5	61 + 21 part	200876	97.882	1.012	0	34.96	2.96	5026 + 286 part	97.97	0	190301	5226716	31216	35106	14373	15517	50	47	112	104
Ec_0-5_20_Ec4	NZ_CP022086.2 Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome	17.83000463380779	449023	448476	0.9987817995960118	18.640841219458768	103731267	NA	97.3	0	4988	307	0.9798297557364914	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:41.149366	998	390	237	168	72	13	5564731	5340145	4957535	4437929	2882892	854024	515	100426	5427905	5256950	50.48	50.75	26176	27015	13600	14983	66	63	137	128	5	5	123947	1	0	0	7	24 + 27 part	211712	97.801	1.015	0	47.03	1.36	4988 + 307 part	97.3	0	91954	5213995	25736	25920	12513	13142	68	65	145	135
Ec_0-5_20_Ec5	NZ_CP027390.1 Escherichia coli strain 2015C-4944 chromosome, complete genome	17.809362009713215	485505	484848	0.9986467698581889	18.6899090692175	112167265	NA	93.2	0	5329	551	0.9465550547327752	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:53.495304	1804	618	295	188	50	7	6001488	5589986	4791932	4000951	1835579	404777	805	75310	5720719	5802748	50.3	50.68	16764	16637	8293	7938	101	103	220	228	7	5	23982	8	0	0	9	41 + 31 part	151695	94.284	1.018	0	61.62	1.92	5329 + 551 part	93.24	2.7	75310	5566298	16637	16508	8033	7527	101	103	223	231
Ec_0-5_20_Ec6	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	17.7479221377073	470803	470323	0.9989804652901532	18.7147754887987	108770350	NA	97.3	0	5181	506	0.9502088554720134	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:52.410547	1644	550	276	170	54	11	5812004	5430371	4803834	4041508	2226534	704646	734	118334	5558539	5647195	50.37	50.67	19163	18791	9198	8794	79	82	184	191	4	4	24137	4	0	0	6	46 + 23 part	144192	94.378	1.016	0	50.04	2.08	5181 + 506 part	97.3	0	118334	5411442	18996	18791	8878	8379	80	82	186	194
Ec_0-5_20_Ec7	NZ_CP018252.1 Escherichia coli strain 9000 chromosome, complete genome	18.045516155496333	464688	463615	0.9976909238026375	19.198300396762452	107357107	NA	98.6	0	5159	322	0.945	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:12.260061	1021	312	166	125	66	30	5592011	5334339	4993690	4697882	3738653	2447626	464	239420	5442750	5516497	50.23	50.53	46057	44290	19287	18049	36	37	82	85	3	3	9984	2	0	0	3	52 + 18 part	148811	95.148	1.009	0	38.28	1.33	5159 + 322 part	98.65	0	239420	5289530	46057	44290	18911	17222	36	37	82	85
Ec_0-5_20_Ec8	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	17.84976778462683	472389	471784	0.9987192758510465	18.668735449328167	109136494	NA	95.9	0	5171	527	0.952046783625731	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:53:03.120747	1742	566	292	186	50	4	5845950	5419041	4736734	3935618	1762440	266874	790	82857	5577034	5647195	50.34	50.67	16786	16691	8693	8428	100	102	213	219	7	7	62153	4	0	0	6	39 + 21 part	137198	94.572	1.019	0	64.11	4.48	5171 + 527 part	95.95	2.03	82857	5435972	16691	16558	8264	8013	100	103	217	223
Ec_0-5_30_Ec1	NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome	14.932658897713202	445179	445033	0.9996720420325307	15.14901020672533	102851887	NA	79.1	1.4	3854	1522	0.9569241723033108	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:53:57.065914	5822	1559	252	54	4	0	6789347	5156295	2130749	803299	140001	0	2498	44006	5807252	5317846	50.29	50.63	3655	4101	1870	2297	434	370	983	808	13	13	27027	11	0	0	12	64 + 50 part	369999	94.094	1.087	0	231.09	6.91	3854 + 1522 part	80.41	6.76	44006	5431676	3275	3583	1454	1905	471	399	1124	903
Ec_0-5_30_Ec2	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	15.44805072485665	450433	450125	0.9993162135101114	15.713519085987855	104059936	NA	89.2	0.7	4237	1049	0.9754567263332719	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:52:59.408592	4174	1272	323	115	8	0	6622319	5485725	3253266	1851034	239793	0	1946	35579	5950865	5277316	50.46	50.72	5636	6629	2659	3550	271	216	653	491	21	21	78603	19	0	0	17	91 + 68 part	456804	96.722	1.076	0	208.02	9.27	4237 + 1049 part	89.86	2.03	35579	5482436	5180	6062	1927	2939	285	224	752	538
Ec_0-5_30_Ec3	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	15.349163922495137	454266	454030	0.9994804805994726	15.638191524617543	104945151	NA	91.2	0	4220	1084	0.9787783723934306	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:01.268633	4226	1268	330	103	13	0	6710824	5547580	3313526	1763167	398622	0	1980	43873	6045947	5277316	50.49	50.72	5611	6598	2643	3618	275	212	666	482	15	14	27945	12	0	0	19	115 + 75 part	539312	97.073	1.075	0	222.57	9.68	4220 + 1084 part	91.22	2.7	43873	5501930	5014	5940	1820	2955	295	225	784	538
Ec_0-5_30_Ec4	NZ_CP022086.2 Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome	15.477317239578838	450450	450361	0.9998024198024198	15.67285817620373	104067888	NA	87.8	0	4086	1169	0.9724278312361214	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:05.126965	4591	1317	292	97	14	1	6640007	5346586	2905418	1581835	464034	53349	2101	53349	5897280	5256950	50.47	50.75	4944	5651	2358	3105	301	241	731	554	14	13	36489	15	0	0	15	36 + 62 part	396375	96.49	1.084	0	221.29	6.96	4086 + 1169 part	87.84	4.73	42034	5495181	4451	5096	1756	2531	333	265	859	632
Ec_0-5_30_Ec5	NZ_CP027390.1 Escherichia coli strain 2015C-4944 chromosome, complete genome	17.77584733951395	481810	481409	0.9991677217160292	17.97151667386746	111311333	NA	94.6	0	5323	546	0.9447842884739215	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:30.275467	1611	660	329	207	49	6	6193764	5857874	5053920	4169192	1753758	327524	810	59161	5960654	5802748	50.23	50.68	15636	16189	8411	8889	113	108	240	227	12	12	134458	14	0	0	14	42 + 61 part	386669	93.815	1.024	0	145.76	5.09	5323 + 546 part	94.59	2.03	58844	5571827	15157	15437	7037	7708	115	110	254	238
Ec_0-5_30_Ec6	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	14.955837121443952	472842	472657	0.9996087487998105	15.115107424954168	109250228	NA	84.5	0	4060	1585	0.9431913116123642	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:11.493371	6483	1630	271	60	4	0	7227883	5359615	2272697	891663	142038	0	2741	44946	6133613	5647195	50.37	50.67	3672	4039	1755	2138	457	394	1062	873	9	9	20434	19	0	0	18	60 + 62 part	405348	92.566	1.096	0	242.57	6.14	4060 + 1585 part	84.46	2.7	44946	5721087	3214	3598	1318	1705	500	428	1242	999
Ec_0-5_30_Ec7	NZ_CP018252.1 Escherichia coli strain 9000 chromosome, complete genome	17.339276927046996	464338	463545	0.9982921923254181	17.78644444245485	107276912	NA	95.9	0	4921	554	0.9439655172413793	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:49:12.529254	1898	667	310	173	45	3	6031386	5609909	4713591	3721841	1606871	192118	869	83996	5751593	5516497	50.12	50.53	16765	17485	6991	7906	108	101	244	220	23	18	71749	12	0	0	5	89 + 58 part	392836	94.866	1.024	0	105.02	7.05	4921 + 554 part	95.95	0.68	83996	5350301	16240	17341	6453	7059	109	102	253	227
Ec_0-5_30_Ec8	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	17.87560289717367	468825	468255	0.9987841945288753	18.070250129675426	108309664	NA	95.3	0.7	5154	485	0.9421888053467001	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:47:31.077956	1423	578	297	183	54	9	5993811	5685387	5005175	4154050	2058848	528066	741	73834	5798106	5647195	50.14	50.67	19214	19735	9005	9521	93	89	204	192	22	18	203526	10	0	0	9	42 + 51 part	347816	94.052	1.026	0	147.23	8.45	5154 + 485 part	95.95	1.35	73834	5445229	18475	19214	7900	8721	94	90	214	200
Ec_0-5_40_Ec1	NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome	15.09918342679443	443707	443471	0.9994681174739186	15.264697902628972	102510842	NA	76.4	1.4	3919	1436	0.953186187255251	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:48:10.915159	5272	1545	284	62	4	0	6715550	5282535	2394749	902103	124349	0	2336	36908	5834291	5317846	50.25	50.63	4127	4556	1984	2550	399	340	901	729	20	19	77134	18	0	0	16	33 + 58 part	422444	93.814	1.085	0	304.38	10.28	3919 + 1436 part	77.7	9.46	29674	5406190	3536	3949	1479	1919	456	387	1092	862
Ec_0-5_40_Ec2	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	15.577956352745682	449040	448816	0.999501158026011	15.723352912039509	103737085	NA	89.2	0.7	4270	1002	0.9728732238420372	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:50:46.886513	3756	1204	334	128	13	0	6597644	5600839	3557053	2138283	419688	0	1776	38861	5999412	5277316	50.46	50.72	6561	7650	2911	3952	237	186	583	424	23	20	84028	23	0	0	20	53 + 87 part	529803	96.638	1.072	0	277.69	9.9	4270 + 1002 part	89.86	3.38	38861	5463941	5461	6611	1932	3080	263	203	717	496
Ec_0-5_40_Ec3	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	15.543129524327256	452616	452393	0.9995073086236457	15.70549314181493	104564205	NA	93.2	0	4294	987	0.9750738552437223	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:50:24.435479	3636	1193	353	129	10	0	6657811	5714924	3663842	2107345	318555	0	1700	48574	6074444	5277316	50.44	50.72	6707	7842	3204	4463	244	189	576	416	14	14	61791	16	0	0	29	60 + 81 part	609089	96.773	1.07	0	279.32	11.47	4294 + 987 part	93.24	1.35	48574	5458272	5352	6807	1934	3234	274	208	726	493
Ec_0-5_40_Ec4	NZ_CP022086.2 Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome	15.603893898383824	448858	448680	0.9996034380583615	15.764277782980374	103696032	NA	90.5	0	4083	1176	0.9731680236861584	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:39.361803	4232	1293	320	102	11	0	6577912	5411334	3153653	1678549	339840	0	1965	39355	5887750	5256950	50.45	50.75	5448	6274	2472	3295	280	226	682	516	23	22	94253	25	0	0	17	14 + 62 part	432923	96.094	1.08	0	279.79	7.68	4083 + 1176 part	90.54	2.7	39355	5449446	4485	5235	1771	2526	331	266	850	629
Ec_0-5_40_Ec5	NZ_CP027390.1 Escherichia coli strain 2015C-4944 chromosome, complete genome	17.119014833555298	481060	480554	0.9989481561551573	17.283246971101505	111139453	NA	92.6	0	4940	874	0.9359304571796523	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:52:03.706829	2552	979	392	174	18	0	6430473	5849950	4379553	2843458	547055	0	1269	48019	6046569	5802748	50.26	50.68	9208	9690	4627	5074	193	180	425	387	32	30	231918	38	0	0	13	20 + 63 part	407136	93.094	1.044	0	303.92	8.33	4940 + 874 part	92.57	1.35	48019	5632435	7952	8416	3502	4004	213	198	498	449
Ec_0-5_40_Ec6	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	17.112798805661217	466059	465700	0.9992297112597333	17.263673406037967	107670648	NA	94.6	0	4878	728	0.9366750208855472	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:53:53.120057	2238	869	379	174	24	0	6236833	5742068	4469724	2991980	760904	0	1108	48870	5908979	5647195	50.26	50.67	10185	10809	5116	5811	171	158	372	336	28	25	230717	27	0	0	16	34 + 65 part	436924	93.184	1.04	0	268.99	8.76	4878 + 728 part	94.59	0	48870	5466098	9691	10007	3921	4464	180	167	421	374
Ec_0-5_40_Ec7	NZ_CP018252.1 Escherichia coli strain 9000 chromosome, complete genome	16.65622915970844	464339	463734	0.9986970726128971	16.79730080111379	107281975	NA	89.2	0	4647	839	0.9458620689655173	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:49:15.011478	2973	1006	406	149	19	0	6386858	5728627	4240249	2408120	555326	0	1277	44656	5920565	5516497	50.09	50.53	8347	9016	4483	5305	210	187	449	386	30	26	105231	23	0	0	13	64 + 78 part	507092	94.76	1.036	0	174.23	11.34	4647 + 839 part	89.19	4.05	44656	5405432	7771	8333	3153	4211	219	193	503	420
Ec_0-5_40_Ec8	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	17.21803860003159	467807	467293	0.9989012562873151	17.375416391216106	108077036	NA	93.2	1.4	4832	768	0.935672514619883	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:49:06.693497	2367	894	385	173	13	3	6220112	5682474	4403821	2907661	502100	171412	1153	61019	5861572	5647195	50.14	50.67	9870	10207	5017	5484	176	165	384	353	32	29	311189	25	0	0	16	26 + 59 part	370758	93.304	1.042	0	298.52	11.18	4832 + 768 part	94.59	1.35	61019	5486004	8915	9323	3987	4428	189	177	435	396
Ec_0-5_50_Ec1	NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome	14.836529251172342	443781	443571	0.999526793621178	15.001679256579637	102530057	NA	76.4	0.7	3771	1568	0.9503381986472054	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:50:44.283788	5750	1604	258	54	3	1	6834572	5208602	2197293	820410	117011	53068	2545	53068	5863953	5317846	50.29	50.63	3638	4083	1781	2258	432	361	1003	800	32	31	90110	31	0	0	19	22 + 51 part	432458	93.346	1.094	0	449.51	12.93	3771 + 1568 part	77.03	6.08	27010	5428083	2972	3355	1319	1727	526	440	1254	984
Ec_0-5_50_Ec2	NZ_HF572917.1 Escherichia coli strain HUSEC2011 chromosome, complete genome	15.40662236452716	449137	448926	0.999530210158593	15.558612871736969	103760856	NA	89.9	0	4102	1156	0.9720835644296543	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:55.584838	4094	1292	316	116	10	0	6669030	5586761	3305920	1907707	324221	0	1898	42913	6007976	5277676	50.46	50.72	5858	7026	2674	3602	261	204	644	470	29	24	163296	40	0	0	15	36 + 72 part	537850	96.213	1.077	0	400.57	14.18	4102 + 1156 part	89.86	1.35	41609	5463171	4536	5491	1721	2611	317	244	852	594
Ec_0-5_50_Ec3	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	15.258257137608327	453222	453029	0.9995741601246189	15.402391748695011	104704766	NA	89.9	0	4123	1149	0.9728732238420372	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:53:14.973403	4237	1322	324	115	12	0	6797955	5657249	3297328	1867919	375970	0	1962	37324	6113744	5277316	50.44	50.72	5538	6674	2652	3796	279	210	671	475	28	27	125066	34	0	0	22	49 + 78 part	621782	96.129	1.083	0	409.64	14.41	4123 + 1149 part	89.86	2.03	37324	5486191	4501	5329	1551	2604	350	263	925	611
Ec_0-5_50_Ec4	NZ_CP022086.2 Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome	15.356078128514072	448977	448835	0.9996837254469605	15.514537419895705	103727327	NA	90.5	0	3946	1286	0.9681717246484086	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:55.079681	4697	1399	308	81	9	0	6685815	5372643	2874643	1335993	275897	0	2180	40646	5922605	5256950	50.44	50.75	4828	5560	2194	2937	326	262	781	586	28	27	121185	36	0	0	17	8 + 58 part	434307	95.61	1.092	0	419.33	10.13	3946 + 1286 part	90.54	2.03	33354	5483946	3901	4623	1552	2211	396	318	997	728
Ec_0-5_50_Ec5	NZ_CP027390.1 Escherichia coli strain 2015C-4944 chromosome, complete genome	15.041413450978881	486543	486309	0.9995190558696765	15.229100265455818	112410040	NA	73	0	4016	1767	0.9309401159047006	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:30.635686	6571	1738	252	55	2	0	7381266	5415786	2139547	811096	62604	0	2959	35874	6282422	5802748	50.33	50.68	3344	3642	1575	1945	501	432	1184	979	44	43	136516	47	0	0	18	11 + 66 part	414393	91.313	1.107	0	489.78	11.25	4016 + 1767 part	72.97	8.11	24412	5859677	2754	3071	1209	1498	607	524	1473	1207
Ec_0-5_50_Ec6	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	17.10786696366502	465520	464862	0.9985865268946554	17.280420195167054	107544505	NA	92.6	0	4779	763	0.9259816207184628	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:33.987641	2300	891	386	163	23	1	6223489	5710123	4422775	2840878	773472	53277	1144	53277	5883914	5647195	50.28	50.67	9633	10033	5013	5642	174	162	385	351	51	46	486479	43	0	0	12	16 + 59 part	440973	92.497	1.042	0	458.75	13.59	4779 + 763 part	92.57	2.03	49649	5435993	8083	8604	3513	4127	200	186	469	422
Ec_0-5_50_Ec7	NZ_CP018252.1 Escherichia coli strain 9000 chromosome, complete genome	15.514631698881786	466112	465861	0.9994615028147741	15.583465473216098	107691190	NA	81.8	0	4136	1339	0.9439655172413793	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:54.559462	5366	1489	335	72	1	0	6910606	5606721	2823116	1006086	42656	0	2034	42656	6001121	5516497	50.09	50.53	4751	5109	2496	3008	372	323	804	671	36	33	108521	28	0	0	28	42 + 88 part	528577	94.013	1.055	0	246.31	15.75	4136 + 1339 part	81.76	4.05	24212	5461339	3937	4344	1715	2231	433	374	994	809
Ec_0-5_50_Ec8	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	17.191658349336876	467264	466743	0.9988849986303246	17.37560244444924	107947772	NA	92.6	0.7	4730	823	0.9278195488721804	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:32.548929	2427	935	395	167	11	0	6212606	5668540	4243260	2643222	353772	0	1198	43474	5848931	5647195	50.15	50.67	8960	9144	4637	5019	197	186	425	394	47	42	339507	40	0	0	19	11 + 61 part	379584	92.694	1.045	0	470.73	14.98	4730 + 823 part	93.24	0.68	43474	5461470	7622	7956	3601	3992	221	208	499	459
Ec_5_10_Ec1	NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome	15.14826075863242	433587	428954	0.9893147165390106	18.94815323565612	100173827	NA	98.6	0	5201	195	0.9604841580633677	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:22.251812	598	165	86	70	53	29	5286733	5110726	4928846	4825517	4570904	3717393	295	326398	5199602	5317846	50.44	50.63	99938	99938	41516	40025	15	15	34	36	3	3	69553	3	0	0	1	15 + 8 part	68681	95.759	1.008	0	43.03	0.9	5201 + 195 part	98.65	0	326398	5127745	99938	99938	41516	40025	15	15	34	36
Ec_5_10_Ec2	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	15.021850980375639	443938	435342	0.9806369357883308	19.0154335048229	102556527	NA	98.6	0	5154	154	0.9795165159623547	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:09.391156	435	159	89	70	51	32	5393331	5272796	5104262	4973661	4682353	3964634	258	301286	5340431	5277316	50.57	50.72	105107	105107	48530	50846	15	15	33	32	5	5	323078	3	0	0	3	31 + 14 part	140841	97.95	1.006	0	24.92	1.22	5154 + 154 part	98.65	0	301286	5198088	105107	105107	48530	48530	15	15	33	33
Ec_5_10_Ec3	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	14.928794096380255	448066	440546	0.9832167582454371	19.067202241671144	103512161	NA	97.3	0.7	5165	135	0.9780402288245064	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:20.954269	501	160	92	67	52	34	5428807	5281784	5128347	4954194	4724829	4059810	274	287290	5361258	5277316	50.58	50.72	109728	109728	50717	51780	16	16	34	33	3	3	39128	0	0	0	1	39 + 19 part	156826	97.957	1.007	0	30.24	3.48	5165 + 135 part	97.97	0.68	287290	5201519	109728	109728	50717	51780	16	16	34	33
