strain	depth_x	Number.of.scaffolds	Total.scaffold.length	Average.scaffold.length	Scaffold.N50	Scaffold.auN	Scaffold.L50	Largest.scaffold	Smallest.scaffold	Number.of.contigs	Total.contig.length	Average.contig.length	Contig.N50	Contig.auN	Contig.L50	Largest.contig	Smallest.contig	Number.of.gaps.in.scaffolds	Total.gap.length.in.scaffolds	Average.gap.length.in.scaffolds	Gap.N50.in.scaffolds	Gap.auN.in.scaffolds	Gap.L50.in.scaffolds	Largest.gap.in.scaffolds	Smallest.gap.in.scaffolds	Base.composition..A.C.G.T.	GC.content..	Number.of.soft.masked.bases	Number.of.segments	Total.segment.length	Average.segment.length	Number.of.gaps	Number.of.paths	Number.of.edges	Average.degree	Number.of.connected.components	Largest.connected.component.length	Number.of.dead.ends	Number.of.disconnected.components	Total.length.disconnected.components	Number.of.separated.components	Number.of.bubbles	Number.of.circular.segments	Number.of.circular.paths	depth	depth_category
24-SA01465-0	50x	1	4642440	4642440	4642440	4642440	1	4642440	4642440	1	4642440	4642440	4642440	4642440	1	4642440	4642440	0	0	0	0	0	0	0	0	1107015:1213972:1213412:1108041	52.29	0	1	4642440	4642440	0	1	2	2	1	4642440	0	0	0	1	0	1	1	50	>30
24-SA01465-0	60x	1	4642439	4642439	4642439	4642439	1	4642439	4642439	1	4642439	4642439	4642439	4642439	1	4642439	4642439	0	0	0	0	0	0	0	0	1108041:1213411:1213972:1107015	52.29	0	1	4642439	4642439	0	1	2	2	1	4642439	0	0	0	1	0	1	1	60	>30
24-SA01465-0	70x	1	4642437	4642437	4642437	4642437	1	4642437	4642437	1	4642437	4642437	4642437	4642437	1	4642437	4642437	0	0	0	0	0	0	0	0	1107014:1213972:1213410:1108041	52.29	0	1	4642437	4642437	0	1	2	2	1	4642437	0	0	0	1	0	1	1	70	>30
24-SA01465-0	80x	1	4642439	4642439	4642439	4642439	1	4642439	4642439	1	4642439	4642439	4642439	4642439	1	4642439	4642439	0	0	0	0	0	0	0	0	1107015:1213972:1213411:1108041	52.29	0	1	4642439	4642439	0	1	2	2	1	4642439	0	0	0	1	0	1	1	80	>30
24-SA01465-0	90x	1	4642438	4642438	4642438	4642438	1	4642438	4642438	1	4642438	4642438	4642438	4642438	1	4642438	4642438	0	0	0	0	0	0	0	0	1107014:1213972:1213411:1108041	52.29	0	1	4642438	4642438	0	1	2	2	1	4642438	0	0	0	1	0	1	1	90	>30
24-SA01473-0	100x	5	5333070	1066614	5040306	4777094.82	1	5040306	2192	5	5333070	1066614	5040306	4777094.82	1	5040306	2192	0	0	0	0	0	0	0	0	1285239:1382624:1378908:1286299	51.78	0	5	5333070	1066614	0	5	6	1.2	3	5040306	4	2	4592	5	0	3	3	100	>30
24-SA01473-0	10x	3	5316151	1772050.33	5040038	4791721.62	1	5040038	8802	3	5316151	1772050.33	5040038	4791721.62	1	5040038	8802	0	0	0	0	0	0	0	0	1281884:1375257:1377788:1281222	51.79	0	3	5316151	1772050.33	0	3	3	1	2	267311	2	1	5040038	3	0	2	2	10	10
24-SA01473-0	150x	7	5333681	761954.43	5040305	4776500.01	1	5040305	557	9	5333681	592631.22	5040305	4776485.99	1	5040305	557	0	0	0	0	0	0	0	0	1286311:1381208:1381006:1285156	51.79	0	8	5327500	665937.5	0	7	13	1.62	3	5040305	0	0	0	3	7	2	2	150	>30
24-SA01473-0	200x	3	5325977	1775325.67	5040305	4783434.53	1	5040305	18370	3	5325977	1775325.67	5040305	4783434.53	1	5040305	18370	0	0	0	0	0	0	0	0	1284420:1379778:1378130:1283649	51.78	0	3	5325977	1775325.67	0	3	5	1.67	3	5040305	0	0	0	3	0	3	3	200	>30
24-SA01473-0	20x	3	5312208	1770736	5040314	4795790.4	1	5040314	4593	3	5312208	1770736	5040314	4795790.4	1	5040314	4593	0	0	0	0	0	0	0	0	1280184:1377058:1373902:1281064	51.79	0	3	5312208	1770736	0	3	5	1.67	3	5040314	0	0	0	3	0	3	3	20	20
24-SA01473-0	30x	3	5312203	1770734.33	5040307	4795781.83	1	5040307	4593	3	5312203	1770734.33	5040307	4795781.83	1	5040307	4593	0	0	0	0	0	0	0	0	1280092:1375186:1375772:1281153	51.79	0	3	5312203	1770734.33	0	3	5	1.67	3	5040307	0	0	0	3	0	3	3	30	30
24-SA01473-0	40x	5	5313666	1062733.2	5040303	4794453.21	1	5040303	617	5	5313666	1062733.2	5040303	4794453.21	1	5040303	617	0	0	0	0	0	0	0	0	1280488:1375333:1376375:1281470	51.79	0	5	5313666	1062733.2	0	5	7	1.4	3	5040303	2	1	1468	4	1	3	3	40	>30
24-SA01473-0	50x	3	5321448	1773816	5040306	4787480.02	1	5040306	13841	3	5321448	1773816	5040306	4787480.02	1	5040306	13841	0	0	0	0	0	0	0	0	1282390:1379613:1376046:1283399	51.78	0	3	5321448	1773816	0	3	5	1.67	3	5040306	0	0	0	3	0	3	3	50	>30
24-SA01473-0	60x	3	5325927	1775309	5040307	4783482.87	1	5040307	18318	3	5325927	1775309	5040307	4783482.87	1	5040307	18318	0	0	0	0	0	0	0	0	1283431:1379006:1378899:1284591	51.78	0	3	5325927	1775309	0	3	5	1.67	3	5040307	0	0	0	3	0	3	3	60	>30
24-SA01473-0	70x	3	5325906	1775302	5040303	4783494.04	1	5040303	18301	3	5325906	1775302	5040303	4783494.04	1	5040303	18301	0	0	0	0	0	0	0	0	1284367:1379804:1378165:1283570	51.78	0	3	5325906	1775302	0	3	5	1.67	3	5040303	0	0	0	3	0	3	3	70	>30
24-SA01473-0	80x	5	5317614	1063522.8	5040305	4790864.19	1	5040305	2069	5	5317614	1063522.8	5040305	4790864.19	1	5040305	2069	0	0	0	0	0	0	0	0	1281512:1378490:1375046:1282566	51.78	0	5	5317614	1063522.8	0	5	6	1.2	3	5040305	4	2	5347	5	0	3	3	80	>30
24-SA01473-0	90x	3	5325973	1775324.33	5040305	4783438.01	1	5040305	18367	3	5325973	1775324.33	5040305	4783438.01	1	5040305	18367	0	0	0	0	0	0	0	0	1283509:1380850:1377057:1284557	51.78	0	3	5325973	1775324.33	0	3	5	1.67	3	5040305	0	0	0	3	0	3	3	90	>30
24-SA01490-0	100x	6	4868324	811387.33	4721350	4580793.64	1	4721350	2704	6	4868324	811387.33	4721350	4580793.64	1	4721350	2704	0	0	0	0	0	0	0	0	1166623:1271532:1264718:1165451	52.1	0	6	4868324	811387.33	0	6	6	1	5	4721350	2	1	2704	6	0	5	5	100	>30
24-SA01490-0	10x	9	4873654	541517.11	4721524	4576118.21	1	4721524	1441	9	4873654	541517.11	4721524	4576118.21	1	4721524	1441	0	0	0	0	0	0	0	0	1163925:1266248:1273318:1170163	52.11	0	9	4873654	541517.11	0	9	7	0.78	5	4721524	8	4	12382	9	0	5	5	10	10
24-SA01490-0	150x	7	4866459	695208.43	4721349	4582535.84	1	4721349	2702	7	4866459	695208.43	4721349	4582535.84	1	4721349	2702	0	0	0	0	0	0	0	0	1166248:1270900:1264316:1164995	52.1	0	7	4866459	695208.43	0	7	6	0.86	5	4721349	4	2	5404	7	0	5	5	150	>30
24-SA01490-0	200x	11	4895819	445074.45	4721349	4555044.45	1	4721349	1668	11	4895819	445074.45	4721349	4555044.45	1	4721349	1668	0	0	0	0	0	0	0	0	1175214:1276382:1272534:1171689	52.06	0	11	4895819	445074.45	0	11	8	0.73	5	4721349	12	6	37273	11	0	5	5	200	>30
24-SA01490-0	20x	5	4869260	973852	4721356	4579932.61	1	4721356	7662	5	4869260	973852	4721356	4579932.61	1	4721356	7662	0	0	0	0	0	0	0	0	1169347:1271941:1264831:1163141	52.1	0	5	4869260	973852	0	5	6	1.2	5	4721356	0	0	0	5	0	5	5	20	20
24-SA01490-0	30x	5	4878135	975627	4721351	4571628.64	1	4721351	12218	5	4878135	975627	4721351	4571628.64	1	4721351	12218	0	0	0	0	0	0	0	0	1169035:1274031:1267126:1167943	52.09	0	5	4878135	975627	0	5	5	1	4	4721351	2	1	13527	5	0	4	4	30	30
24-SA01490-0	40x	5	4865568	973113.6	4721349	4583379.27	1	4721349	4341	5	4865568	973113.6	4721349	4583379.27	1	4721349	4341	0	0	0	0	0	0	0	0	1163051:1263111:1271823:1167583	52.1	0	5	4865568	973113.6	0	5	6	1.2	5	4721349	0	0	0	5	0	5	5	40	>30
24-SA01490-0	50x	9	4872472	541385.78	4721350	4576877.28	1	4721350	1941	9	4872472	541385.78	4721350	4576877.28	1	4721350	1941	0	0	0	0	0	0	0	0	1164237:1264860:1274103:1169272	52.11	0	9	4872472	541385.78	0	9	7	0.78	5	4721350	8	4	13545	9	0	5	5	50	>30
24-SA01490-0	60x	6	4865648	810941.33	4721349	4583308.91	1	4721349	511	6	4865648	810941.33	4721349	4583308.91	1	4721349	511	0	0	0	0	0	0	0	0	1163692:1265179:1269820:1166957	52.1	0	6	4865648	810941.33	0	6	8	1.33	5	4721349	0	0	0	5	1	5	5	60	>30
24-SA01490-0	70x	7	4871916	695988	4721350	4577405.76	1	4721350	1098	7	4871916	695988	4721350	4577405.76	1	4721350	1098	0	0	0	0	0	0	0	0	1164659:1264080:1273931:1169246	52.09	0	7	4871916	695988	0	7	7	1	5	4721350	4	2	2779	7	0	5	5	70	>30
24-SA01490-0	80x	5	4865652	973130.4	4721350	4583307.94	1	4721350	4074	5	4865652	973130.4	4721350	4583307.94	1	4721350	4074	0	0	0	0	0	0	0	0	1161981:1264243:1270757:1168671	52.1	0	5	4865652	973130.4	0	5	6	1.2	5	4721350	0	0	0	5	0	5	5	80	>30
24-SA01490-0	90x	7	4865045	695006.43	4721348	4583876.3	1	4721348	924	7	4865045	695006.43	4721348	4583876.3	1	4721348	924	0	0	0	0	0	0	0	0	1163520:1265492:1269179:1166854	52.1	0	7	4865045	695006.43	0	7	10	1.43	5	4721348	0	0	0	5	2	6	6	90	>30
24-SA01505-0	100x	1	4983743	4983743	4983743	4983743	1	4983743	4983743	1	4983743	4983743	4983743	4983743	1	4983743	4983743	0	0	0	0	0	0	0	0	1191454:1300948:1299998:1191343	52.19	0	1	4983743	4983743	0	1	2	2	1	4983743	0	0	0	1	0	1	1	100	>30
24-SA01505-0	10x	7	5138005	734000.71	1528219	1437488.23	2	1719233	23384	11	5138005	467091.36	1528219	1359398.42	2	1638357	23384	0	0	0	0	0	0	0	0	1236180:1386122:1296339:1219364	52.21	0	7	4976253	710893.29	0	7	4	0.57	1	3322643	8	3	1653610	4	0	0	0	10	10
24-SA01505-0	150x	1	4983743	4983743	4983743	4983743	1	4983743	4983743	1	4983743	4983743	4983743	4983743	1	4983743	4983743	0	0	0	0	0	0	0	0	1191454:1300947:1299998:1191344	52.19	0	1	4983743	4983743	0	1	2	2	1	4983743	0	0	0	1	0	1	1	150	>30
24-SA01505-0	20x	1	4983753	4983753	4983753	4983753	1	4983753	4983753	1	4983753	4983753	4983753	4983753	1	4983753	4983753	0	0	0	0	0	0	0	0	1191456:1300949:1299998:1191350	52.19	0	1	4983753	4983753	0	1	2	2	1	4983753	0	0	0	1	0	1	1	20	20
24-SA01505-0	30x	1	4983749	4983749	4983749	4983749	1	4983749	4983749	1	4983749	4983749	4983749	4983749	1	4983749	4983749	0	0	0	0	0	0	0	0	1191456:1300948:1299999:1191346	52.19	0	1	4983749	4983749	0	1	2	2	1	4983749	0	0	0	1	0	1	1	30	30
24-SA01505-0	40x	1	4983747	4983747	4983747	4983747	1	4983747	4983747	1	4983747	4983747	4983747	4983747	1	4983747	4983747	0	0	0	0	0	0	0	0	1191345:1299999:1300949:1191454	52.19	0	1	4983747	4983747	0	1	2	2	1	4983747	0	0	0	1	0	1	1	40	>30
24-SA01505-0	50x	1	4983745	4983745	4983745	4983745	1	4983745	4983745	1	4983745	4983745	4983745	4983745	1	4983745	4983745	0	0	0	0	0	0	0	0	1191343:1299999:1300948:1191455	52.19	0	1	4983745	4983745	0	1	2	2	1	4983745	0	0	0	1	0	1	1	50	>30
24-SA01505-0	60x	1	4983745	4983745	4983745	4983745	1	4983745	4983745	1	4983745	4983745	4983745	4983745	1	4983745	4983745	0	0	0	0	0	0	0	0	1191454:1300949:1299999:1191343	52.19	0	1	4983745	4983745	0	1	2	2	1	4983745	0	0	0	1	0	1	1	60	>30
24-SA01505-0	70x	1	4983746	4983746	4983746	4983746	1	4983746	4983746	1	4983746	4983746	4983746	4983746	1	4983746	4983746	0	0	0	0	0	0	0	0	1191455:1300948:1299999:1191344	52.19	0	1	4983746	4983746	0	1	2	2	1	4983746	0	0	0	1	0	1	1	70	>30
24-SA01505-0	80x	1	4983745	4983745	4983745	4983745	1	4983745	4983745	1	4983745	4983745	4983745	4983745	1	4983745	4983745	0	0	0	0	0	0	0	0	1191455:1300947:1299999:1191344	52.19	0	1	4983745	4983745	0	1	2	2	1	4983745	0	0	0	1	0	1	1	80	>30
24-SA01505-0	90x	1	4983746	4983746	4983746	4983746	1	4983746	4983746	1	4983746	4983746	4983746	4983746	1	4983746	4983746	0	0	0	0	0	0	0	0	1191454:1300947:1300000:1191345	52.19	0	1	4983746	4983746	0	1	2	2	1	4983746	0	0	0	1	0	1	1	90	>30
24-SA01559-0	100x	2	4979536	2489768	4966800	4954129.15	1	4966800	12736	2	4979536	2489768	4966800	4954129.15	1	4966800	12736	0	0	0	0	0	0	0	0	1190436:1300371:1298590:1190139	52.19	0	2	4979536	2489768	0	2	3	1.5	2	4966800	0	0	0	2	0	2	2	100	>30
24-SA01559-0	10x	9	4965656	551739.56	1555697	1226337.96	2	1699378	7894	10	4965656	496565.6	1555140	1225989.08	2	1699378	557	0	0	0	0	0	0	0	0	1190576:1314757:1276928:1183395	52.19	0	10	4965656	496565.6	0	9	5	0.5	2	3411772	12	5	1545990	7	0	2	1	10	10
24-SA01559-0	150x	2	4975291	2487645.5	4966801	4958339.98	1	4966801	8490	2	4975291	2487645.5	4966801	4958339.98	1	4966801	8490	0	0	0	0	0	0	0	0	1189235:1299703:1296996:1189357	52.19	0	2	4975291	2487645.5	0	2	3	1.5	2	4966801	0	0	0	2	0	2	2	150	>30
24-SA01559-0	200x	2	4975291	2487645.5	4966801	4958339.98	1	4966801	8490	2	4975291	2487645.5	4966801	4958339.98	1	4966801	8490	0	0	0	0	0	0	0	0	1189189:1297365:1299332:1189405	52.19	0	2	4975291	2487645.5	0	2	3	1.5	2	4966801	0	0	0	2	0	2	2	200	>30
24-SA01559-0	20x	2	4979489	2489744.5	4966809	4954193.58	1	4966809	12680	2	4979489	2489744.5	4966809	4954193.58	1	4966809	12680	0	0	0	0	0	0	0	0	1190194:1300913:1298002:1190380	52.19	0	2	4979489	2489744.5	0	2	3	1.5	2	4966809	0	0	0	2	0	2	2	20	20
24-SA01559-0	30x	2	4971052	2485526	4966807	4962569.25	1	4966807	4245	2	4971052	2485526	4966807	4962569.25	1	4966807	4245	0	0	0	0	0	0	0	0	1188324:1295960:1298482:1188286	52.19	0	2	4971052	2485526	0	2	3	1.5	2	4966807	0	0	0	2	0	2	2	30	30
24-SA01559-0	40x	2	4983324	2491662	4966803	4950391.54	1	4966803	16521	2	4983324	2491662	4966803	4950391.54	1	4966803	16521	0	0	0	0	0	0	0	0	1191324:1301272:1299711:1191017	52.19	0	2	4983324	2491662	0	2	3	1.5	2	4966803	0	0	0	2	0	2	2	40	>30
24-SA01559-0	50x	2	4971049	2485524.5	4966804	4962566.25	1	4966804	4245	2	4971049	2485524.5	4966804	4962566.25	1	4966804	4245	0	0	0	0	0	0	0	0	1188369:1298295:1296144:1188241	52.19	0	2	4971049	2485524.5	0	2	3	1.5	2	4966804	0	0	0	2	0	2	2	50	>30
24-SA01559-0	60x	4	4971550	1242887.5	4966801	4962059.12	1	4966801	518	4	4971550	1242887.5	4966801	4962059.12	1	4966801	518	0	0	0	0	0	0	0	0	1188454:1296057:1298645:1188394	52.19	0	4	4971550	1242887.5	0	4	7	1.75	2	4966801	0	0	0	2	1	2	2	60	>30
24-SA01559-0	70x	3	4971046	1657015.33	4966801	4962562.42	1	4966801	562	3	4971046	1657015.33	4966801	4962562.42	1	4966801	562	0	0	0	0	0	0	0	0	1188284:1298479:1295959:1188324	52.19	0	3	4971046	1657015.33	0	3	5	1.67	2	4966801	0	0	0	2	1	2	2	70	>30
24-SA01559-0	80x	2	4975290	2487645	4966800	4958338.98	1	4966800	8490	2	4975290	2487645	4966800	4958338.98	1	4966800	8490	0	0	0	0	0	0	0	0	1189401:1299333:1297367:1189189	52.19	0	2	4975290	2487645	0	2	3	1.5	2	4966800	0	0	0	2	0	2	2	80	>30
24-SA01559-0	90x	4	4987671	1246917.75	4966803	4946064.62	1	4966803	1256	4	4987671	1246917.75	4966803	4946064.62	1	4966803	1256	0	0	0	0	0	0	0	0	1191974:1300761:1302634:1192302	52.2	0	4	4987671	1246917.75	0	4	3	0.75	2	4966803	4	2	8133	4	0	2	2	90	>30
24-SA01599-0	100x	4	5025661	1256415.25	4918394	4815190.35	1	4918394	3751	4	5025661	1256415.25	4918394	4815190.35	1	4918394	3751	0	0	0	0	0	0	0	0	1201197:1310227:1311562:1202675	52.17	0	4	5025661	1256415.25	0	4	5	1.25	4	4918394	0	0	0	4	0	4	4	100	>30
24-SA01599-0	10x	11	5014830	455893.64	786276	1320565.1	2	2174754	1349	11	5014830	455893.64	786276	1320565.1	2	2174754	1349	0	0	0	0	0	0	0	0	1198910:1295748:1320353:1199819	52.17	0	11	5014830	455893.64	0	11	3	0.27	2	93850	18	9	4917233	11	0	2	2	10	10
24-SA01599-0	150x	6	5028297	838049.5	4918392	4812640.61	1	4918392	3125	6	5028297	838049.5	4918392	4812640.61	1	4918392	3125	0	0	0	0	0	0	0	0	1201796:1310962:1312105:1203434	52.17	0	6	5028297	838049.5	0	6	6	1	4	4918392	4	2	9487	6	0	4	4	150	>30
24-SA01599-0	200x	4	5022436	1255609	4918392	4818268.02	1	4918392	3751	4	5022436	1255609	4918392	4818268.02	1	4918392	3751	0	0	0	0	0	0	0	0	1200336:1309435:1310539:1202126	52.17	0	4	5022436	1255609	0	4	5	1.25	4	4918392	0	0	0	4	0	4	4	200	>30
24-SA01599-0	20x	5	5026981	1005396.2	4918416	4813973.96	1	4918416	1681	5	5026981	1005396.2	4918416	4813973.96	1	4918416	1681	0	0	0	0	0	0	0	0	1201600:1310189:1312046:1203146	52.16	0	5	5026981	1005396.2	0	5	7	1.4	4	4918416	0	0	0	4	1	4	4	20	20
24-SA01599-0	30x	5	5024910	1004982	4918404	4815927.91	1	4918404	790	5	5024910	1004982	4918404	4815927.91	1	4918404	790	0	0	0	0	0	0	0	0	1202704:1311174:1310233:1200799	52.17	0	5	5024910	1004982	0	5	7	1.4	4	4918404	0	0	0	4	1	4	4	30	30
24-SA01599-0	40x	6	5024031	837338.5	4918396	4816742.28	1	4918396	2407	6	5024031	837338.5	4918396	4816742.28	1	4918396	2407	0	0	0	0	0	0	0	0	1201412:1308216:1312496:1201907	52.16	0	6	5024031	837338.5	0	6	6	1	4	4918396	4	2	4817	6	0	4	4	40	>30
24-SA01599-0	50x	6	5019641	836606.83	4918400	4820958.7	1	4918400	899	6	5019641	836606.83	4918400	4820958.7	1	4918400	899	0	0	0	0	0	0	0	0	1200920:1311571:1306843:1200307	52.16	0	6	5019641	836606.83	0	6	9	1.5	4	4918400	0	0	0	4	2	4	4	50	>30
24-SA01599-0	60x	5	5019587	1003917.4	4918401	4821013.79	1	4918401	716	5	5019587	1003917.4	4918401	4821013.79	1	4918401	716	0	0	0	0	0	0	0	0	1200341:1306959:1311387:1200900	52.16	0	5	5019587	1003917.4	0	5	6	1.2	3	4918401	2	1	3203	4	1	3	3	60	>30
24-SA01599-0	70x	9	5021618	557957.56	4918440	4819114.8	1	4918440	508	9	5021618	557957.56	4918440	4819114.8	1	4918440	508	0	0	0	0	0	0	0	0	1201374:1312106:1307159:1200979	52.16	0	9	5021618	557957.56	0	9	12	1.33	4	4918440	4	2	2647	6	3	5	5	70	>30
24-SA01599-0	80x	7	5029387	718483.86	4918395	4811619.82	1	4918395	584	7	5029387	718483.86	4918395	4811619.82	1	4918395	584	0	0	0	0	0	0	0	0	1203164:1314231:1309401:1202591	52.17	0	7	5029387	718483.86	0	7	7	1	4	4918395	4	2	9571	6	1	4	4	80	>30
24-SA01599-0	90x	5	5055159	1011031.8	4918394	4787256.91	1	4918394	6446	5	5055159	1011031.8	4918394	4787256.91	1	4918394	6446	0	0	0	0	0	0	0	0	1209673:1319376:1317941:1208169	52.17	0	5	5055159	1011031.8	0	5	5	1	4	4918394	2	1	28993	5	0	4	4	90	>30
24-SA01631-0	100x	2	5028527	2514263.5	5024141	5019762.65	1	5024141	4386	2	5028527	2514263.5	5024141	5019762.65	1	5024141	4386	0	0	0	0	0	0	0	0	1202727:1310988:1311863:1202949	52.16	0	2	5028527	2514263.5	0	2	2	1	1	5024141	2	1	4386	2	0	1	1	100	>30
24-SA01631-0	10x	4	5019765	1254941.25	3143226	2543632.06	1	3143226	67046	4	5019765	1254941.25	3143226	2543632.06	1	3143226	67046	0	0	0	0	0	0	0	0	1201631:1311295:1305653:1201186	52.13	0	4	5019765	1254941.25	0	4	2	0.5	1	4837573	5	2	182192	3	0	1	1	10	10
24-SA01631-0	150x	2	5028527	2514263.5	5024140	5019760.65	1	5024140	4387	2	5028527	2514263.5	5024140	5019760.65	1	5024140	4387	0	0	0	0	0	0	0	0	1202726:1310989:1311863:1202949	52.16	0	2	5028527	2514263.5	0	2	2	1	1	5024140	2	1	4387	2	0	1	1	150	>30
24-SA01631-0	200x	1	5046902	5046902	5046902	5046902	1	5046902	5046902	7	5046902	720986	4999744	4953168.36	1	4999744	816	0	0	0	0	0	0	0	0	1206692:1316119:1317053:1207038	52.17	0	4	5023323	1255830.75	0	1	6	1.5	1	5023323	0	0	0	1	2	0	0	200	>30
24-SA01631-0	20x	1	5043322	5043322	5043322	5043322	1	5043322	5043322	3	5043322	1681107.33	5004948	4967011.97	1	5004948	19187	0	0	0	0	0	0	0	0	1206311:1315924:1315047:1206040	52.17	0	2	5024135	2512067.5	0	1	3	1.5	1	5024135	0	0	0	1	0	0	0	20	20
24-SA01631-0	30x	1	5028528	5028528	5028528	5028528	1	5028528	5028528	6	5028528	838088	4999745	4971201.83	1	4999745	816	0	0	0	0	0	0	0	0	1202729:1310988:1311861:1202950	52.16	0	4	5023325	1255831.25	0	1	6	1.5	1	5023325	0	0	0	1	2	0	0	30	30
24-SA01631-0	40x	1	5042517	5042517	5042517	5042517	1	5042517	5042517	6	5042517	840419.5	4999745	4957473.83	1	4999745	816	0	0	0	0	0	0	0	0	1206125:1315710:1314843:1205839	52.17	0	4	5023324	1255831	0	1	6	1.5	1	5023324	0	0	0	1	2	0	0	40	>30
24-SA01631-0	50x	2	5028526	2514263	5024139	5019759.65	1	5024139	4387	2	5028526	2514263	5024139	5019759.65	1	5024139	4387	0	0	0	0	0	0	0	0	1202788:1311052:1311799:1202887	52.16	0	2	5028526	2514263	0	2	2	1	1	5024139	2	1	4387	2	0	1	1	50	>30
24-SA01631-0	60x	2	5028525	2514262.5	5024139	5019760.65	1	5024139	4386	2	5028525	2514262.5	5024139	5019760.65	1	5024139	4386	0	0	0	0	0	0	0	0	1202725:1310988:1311863:1202949	52.16	0	2	5028525	2514262.5	0	2	2	1	1	5024139	2	1	4386	2	0	1	1	60	>30
24-SA01631-0	70x	2	5028526	2514263	5024140	5019761.65	1	5024140	4386	2	5028526	2514263	5024140	5019761.65	1	5024140	4386	0	0	0	0	0	0	0	0	1202788:1311050:1311799:1202889	52.16	0	2	5028526	2514263	0	2	2	1	1	5024140	2	1	4386	2	0	1	1	70	>30
24-SA01631-0	80x	2	5028526	2514263	5024139	5019759.65	1	5024139	4387	2	5028526	2514263	5024139	5019759.65	1	5024139	4387	0	0	0	0	0	0	0	0	1202788:1311050:1311800:1202888	52.16	0	2	5028526	2514263	0	2	2	1	1	5024139	2	1	4387	2	0	1	1	80	>30
24-SA01631-0	90x	2	5028528	2514264	5024141	5019761.65	1	5024141	4387	2	5028528	2514264	5024141	5019761.65	1	5024141	4387	0	0	0	0	0	0	0	0	1202788:1311051:1311801:1202888	52.16	0	2	5028528	2514264	0	2	2	1	1	5024141	2	1	4387	2	0	1	1	90	>30
24-SA01729-0	100x	2	4757326	2378663	4670819	4587458.08	1	4670819	86507	2	4757326	2378663	4670819	4587458.08	1	4670819	86507	0	0	0	0	0	0	0	0	1135974:1240510:1242214:1138628	52.19	0	2	4757326	2378663	0	2	3	1.5	2	4670819	0	0	0	2	0	2	2	100	>30
24-SA01729-0	10x	3	4755466	1585155.33	4294961	3910036.99	1	4294961	86507	3	4755466	1585155.33	4294961	3910036.99	1	4294961	86507	0	0	0	0	0	0	0	0	1138949:1248260:1233547:1134710	52.19	0	3	4755466	1585155.33	0	3	1	0.33	1	86507	4	2	4668959	3	0	1	1	10	10
24-SA01729-0	20x	4	4758913	1189728.25	4670821	4585907.72	1	4670821	792	4	4758913	1189728.25	4670821	4585907.72	1	4670821	792	0	0	0	0	0	0	0	0	1137087:1239087:1244355:1138384	52.19	0	4	4758913	1189728.25	0	4	4	1	2	4670821	4	2	2277	4	0	2	2	20	20
24-SA01729-0	30x	2	4757323	2378661.5	4670816	4587455.08	1	4670816	86507	2	4757323	2378661.5	4670816	4587455.08	1	4670816	86507	0	0	0	0	0	0	0	0	1138627:1242213:1240509:1135974	52.19	0	2	4757323	2378661.5	0	2	3	1.5	2	4670816	0	0	0	2	0	2	2	30	30
24-SA01729-0	40x	2	4757326	2378663	4670819	4587458.08	1	4670819	86507	2	4757326	2378663	4670819	4587458.08	1	4670819	86507	0	0	0	0	0	0	0	0	1138065:1243944:1238780:1136537	52.19	0	2	4757326	2378663	0	2	3	1.5	2	4670819	0	0	0	2	0	2	2	40	>30
24-SA01729-0	50x	2	4757326	2378663	4670819	4587458.08	1	4670819	86507	2	4757326	2378663	4670819	4587458.08	1	4670819	86507	0	0	0	0	0	0	0	0	1136536:1238778:1243944:1138068	52.19	0	2	4757326	2378663	0	2	3	1.5	2	4670819	0	0	0	2	0	2	2	50	>30
24-SA01729-0	60x	2	4757325	2378662.5	4670818	4587457.08	1	4670818	86507	2	4757325	2378662.5	4670818	4587457.08	1	4670818	86507	0	0	0	0	0	0	0	0	1135974:1240512:1242213:1138626	52.19	0	2	4757325	2378662.5	0	2	3	1.5	2	4670818	0	0	0	2	0	2	2	60	>30
24-SA01729-0	70x	6	4781954	796992.33	4670816	4563843.32	1	4670816	3112	6	4781954	796992.33	4670816	4563843.32	1	4670816	3112	0	0	0	0	0	0	0	0	1142769:1244495:1250655:1144035	52.18	0	6	4781954	796992.33	0	6	4	0.67	2	4670816	8	4	25202	6	0	2	2	70	>30
24-SA01729-0	80x	2	4757325	2378662.5	4670818	4587457.08	1	4670818	86507	2	4757325	2378662.5	4670818	4587457.08	1	4670818	86507	0	0	0	0	0	0	0	0	1136535:1238780:1243945:1138065	52.19	0	2	4757325	2378662.5	0	2	3	1.5	2	4670818	0	0	0	2	0	2	2	80	>30
24-SA01729-0	90x	6	4776872	796145.33	4670819	4568673.91	1	4670819	2219	6	4776872	796145.33	4670819	4568673.91	1	4670819	2219	0	0	0	0	0	0	0	0	1140426:1245933:1246890:1143623	52.19	0	6	4776872	796145.33	0	6	4	0.67	2	4670819	8	4	20731	6	0	2	2	90	>30
24-SA01748-0	100x	2	4901614	2450807	4814714	4730895.27	1	4814714	86900	2	4901614	2450807	4814714	4730895.27	1	4814714	86900	0	0	0	0	0	0	0	0	1172887:1278539:1277132:1173056	52.14	0	2	4901614	2450807	0	2	3	1.5	2	4814714	0	0	0	2	0	2	2	100	>30
